rank,rawChinese,rawPinyin,english,englishMeaning,chineseMeaning,chineseExample
50,书记,shū ji,clerk,one working with records etc.,＜轻＞（１）党、团等各级组织中的主要负责人。（２）旧时称办理文书及缮写工作的人员。<br>,1、他需得到厂党委<b>书记</b>的同意，才能报名参加考试。 <br />   2、 代表大会召开之后，<b>书记</b>处由上海迁到了北京。 <br />   3、 戈尔巴乔夫是个典型的州党委<b>书记</b>。 <br />   4、 <b>书记</b>官在喃喃诵读起诉状。<br />
51,应该,yīng gāi,have to,obligation,表示理所当然：～爱护公共财产｜为了大伙的事，我多受点累也是～的。<br>,1、我们<b>应该</b>相信谁呢？ <br />   2、 ，而<b>应该</b>说“打开报告…”。 <br />   3、 ，以及“产品看起来<b>应该</b>如何和<b>应该</b>采取什么样的行为？” <br />   4、 选择照片时<b>应该</b>非常小心。<br />
52,似乎,sì hū,as if,in mimicry of,＜轻＞副词，仿佛；好象：他～了解了这个字的意思，但是又讲不出来。<br>,1、既有文本，又有图标的标签图标按钮<b>似乎</b>是个好主意。 <br />   2、 这就<b>似乎</b>意味着交互设计中要考虑的那些各种日常行为应该成为设计工作的主要重点，而对本能层次和反思层次的考虑是次要的。 <br />   3、 在触摸屏上使用屏幕上显示的软键盘来输入数据，<b>似乎</b>很不错。 <br />   4、 与适应性菜单不同，带条的设计<b>似乎</b>同时具备了菜单和工具栏的优势。<br />
53,喜欢,xǐ huan,like,enjoy,＜轻＞（１）对人或事物有好感或感到兴趣。（２）愉快；高兴：喜喜欢欢过春节｜快把试验成功的消息广播一下，叫大家～～。<br>,1、这些都是人类不<b>喜欢</b>的性格，为什么我们期望软件这样呢？ <br />   2、 个性化是特殊的模态（本章稍后会谈及），无论人们是<b>喜欢</b>还是不<b>喜欢</b>，你必须容纳这两种类型的用户。 <br />   3、 这个界面遵循了图形设计者的心理模型，他们往往不<b>喜欢</b>一组枯燥抽象的数值，而更<b>喜欢</b>看到具体的外观。 <br />   4、 你<b>喜欢</b>杂脍，还是鸡肉面汤？<br />
54,最后,zuìhòu,last,After all the others.,在时间上或次序上在所有别的之后：～胜利一定属于我们｜这是全书的～一章。<br>,1、作为消费类产品的<b>最后</b>一种可选情况，设计师可以招募自己的朋友和亲戚。 <br />   2、 <b>最后</b>要考虑一点，尤其在商业产品中是用户所在组织之间的文化差异。 <br />   3、 改进错误消息：<b>最后</b>一招 <br />   4、 <b>最后</b>，摄像机的视野可以分别放大或者缩小。<br />
55,妈妈,mā mā,mother,A woman who has at least one child.,"1.母亲。);
2.称年长的已婚妇女。);
3.称老妻。);
4.称老年女仆。<br>","1、""<b>妈妈</b>，对不起，刚才没听见。"" <br />   2、 爸爸是个了不起的医生， <b>妈妈</b>。 <br />   3、 <b>妈妈</b>, 您好吗? <br />   4、 整个病房里做<b>妈妈</b>的似乎都有点问题。<br />"
56,晚上,wǎn shang,evening,That part of the day in which daylight decreases and the night falls.,太阳落了以后到深夜以前的时间，也泛指夜里。<br>,1、他提醒我<b>晚上</b>不要单独出去。 <br />   2、 “干吧”，他厉声向克劳德耳语说“咱们没有整个<b>晚上</b>可以消磨。” <br />   3、 无论如何，今天<b>晚上</b>我要见你。 <br />   4、 你们<b>晚上</b>九点睡觉。<br />
57,意思,yì sī,meaning,"significance of a thing, as &quot;the meaning of life&quot;","1.思想;心思。);
2.意义，道理。);
3.意图，用意。);
4.意志。);
5.神情。);
6.情趣;趣味。);
7.心情，情绪。);
8.情意;心意。);
9.引申指代表心意的宴请或礼品。);
10.意见，想法。);
11.迹象，苗头。);
12.象征性的表示。<br>",1、表意图形可能会模棱两可，直到你如果确实了解其<b>意思</b>。 <br />   2、 红色在交通信号灯中的<b>意思</b>是“停止”，在西方人的眼中，红色有时还意味着“危险”。 <br />   3、 再者，用户也许不能确定打印机图片代表什么<b>意思</b>。 <br />   4、 我们的语言充满成语和习惯用语，如果没有学过，你不会明白它是什么<b>意思</b>。<br />
58,姑娘,gū niang,girl,young female person,１＜方＞（１）姑母。（２）丈夫的姐妹。<br>,1、两个<b>姑娘</b>现在定期互相通信。 <br />   2、 一个<b>姑娘</b>说：“黑人<b>姑娘</b>和白人<b>姑娘</b>不可能平等。” <br />   3、 一个很活泼的乡下<b>姑娘</b>服侍我。 <br />   4、 《灰<b>姑娘</b>》是个神话故事。<br />
59,虽然,suī rán,although,in spite of the fact that,连词，用在上半句，下半句往往有‘可是，但是’等跟它呼应，表示承认甲事为事实，但乙事并不因为甲事而不成立：现在我们～生活富裕了，但是也要注意节约｜他～工作很忙，可是对业余学习并不放松。注意文言里‘虽然’承接上文，稍微停顿，等于白话‘虽然如此’的意思。<br>,1、<b>虽然</b>我们需要考虑并处理这些目标，但不能以用户为代价。 <br />   2、 <b>虽然</b>这些图标的形状不同，但是大小、颜色和纹理是相似的。 <br />   3、 <b>虽然</b>没有以标签的方式呈现，但原理是一样的）。 <br />   4、 <b>虽然</b>用户需要撤销，但撤销并不支持其任务的特定目标。<br />
60,学生,xué sheng,student,A person who studies a particular academic subject.,＜轻＞（１）在学校读书的人。（２）向老师或前辈学习的人。（３）＜方＞男孩子。<br>,1、现在学校里男女<b>学生</b>都学烹饪。 <br />   2、 私立学校规范<b>学生</b>行为。 <br />   3、 他重视那些严守道德的<b>学生</b>。 <br />   4、 有多少<b>学生</b>报名参加考试？<br />
61,世界,shì jiè,world,cause to be,（１）自然界和人类社会的一切事物的总和：～观｜～之大，无奇不有。（２）佛教用语，指宇宙：大千～。（３）地球上所有地方：全～人民团结起来。（４）指社会的形势、风气：现在是什么～，还允许你不讲理？（５）领域；人的某种活动范围：内心～｜主观～｜科学～｜儿童～。<br>,1、在物理<b>世界</b>这是正常的，但没有理由在软件<b>世界</b>也这样。 <br />   2、 物理<b>世界</b>的存储和检索 <br />   3、 在物理<b>世界</b>中，检索系统和存储系统都是劳动密集的系统。 <br />   4、 在物理<b>世界</b>里，事物的实际位置意味着找到它的手段。<br />
62,好像,hǎo xiànɡ,seem,to appear,有些像；仿佛：他们俩一见面就～是多年的老朋友丨静悄悄的，～屋子里没有人丨他低着头不作声，～在想什么事。<br>,1、软件必须对坏数据保持高度警惕，就<b>好像</b>过境处的海关官员那样。 <br />   2、 如果不对称，界面会显得失衡，<b>好像</b>摇摇欲坠倒向一边。 <br />   3、 尽管我们一直在反复经常地使用自己个人计算机中的个人的软件，它们也<b>好像</b>不记得关于我们个人的一些事情。 <br />   4、 警告通知应该是清楚且非模态的，告知用户他们做了什么，就<b>好像</b>速度表安静地向我们报告超速。<br />
63,也许,yě xǔ,maybe,as a pro-sentence,副词，表示不很肯定：你仔细找一找，～能找到。<br>,1、再者，用户<b>也许</b>不能确定打印机图片代表什么意思。 <br />   2、 它们需要用户直接完成任务，用户<b>也许</b>并不善于这样。” <br />   3、 比如非技术背景的人<b>也许</b>会在看到数据库已经被更改而被吓住。 <br />   4、 <b>也许</b>对于服务员来说有失公平，但是那是服务行业的规则。<br />
64,发现,fā xiàn,discovery,something discovered,（１）经过研究、探索等，看到或找到前人没有看到的事物或规律。（２）发觉：我～他好象有什么心事。<br>,1、无疑可以<b>发现</b>更多，但这些足以领你入门。 <br />   2、 我们<b>发现</b>这些方法有一定的局限性，原因如下。 <br />   3、 我们<b>发现</b>，让设计者以下列几种方式参与是很重要的。 <br />   4、 近距离地观察环境有可能<b>发现</b>访谈对象没有提到的任务线索。<br />
65,多少,duō shǎo,how much,how much?,１＜轻＞疑问代词。（１）问数量：这一班有～人？｜今年收了～粮食？（２）表示不定的数量：我知道～说～｜有～人，准备～工具。<br>,1、我们或许知道用户群存在于哪个细分市场、他们的收入是<b>多少</b>、他们每周末消费<b>多少</b>钱，以及他们买什么样的车等。 <br />   2、 你见过<b>多少</b>应用程序的开始是一个充满大量问题的对话框？ <br />   3、 其实，做一个体贴的产品不比做一个粗陋的产品难<b>多少</b>。 <br />   4、 另一个替代方法也不好，即在选择算法中通过编程禁止标准列表控件的相互排斥行为。 允许用户愿意选<b>多少</b>项就单击<b>多少</b>项，并保证它们不会取消选定。<br />
66,感觉,gǎn jué,feel,transitive: to experience an emotion or other mental state about,（１）客观事物的个别特性在人脑中引起的反应，如苹果作用于我们的感官时，通过视觉可以反映它的颜色，通过味觉可以反映它的味道。感觉是最简单的心理过程，是形成各种复杂心理过程的基础。（２）发生某种感觉：一场秋雨过后就～有点冷了。（３）觉得②：他～工作还顺利。<br>,1、用户最重要的目标是始终保留自己的个人尊严，而不会<b>感觉</b>到自身愚笨。 <br />   2、 如果是一个人这样和我们打交道，我们会<b>感觉</b>到不太舒服，会<b>感觉</b>这个人有些傲慢无礼。 <br />   3、 优秀的设计让人<b>感觉</b>是一个整体，各部分平衡和谐。 <br />   4、 木匠也希望有类似的反馈，如钉子下沉的<b>感觉</b>，铁互相击打的声音，以及举起锤子的<b>感觉</b>等。<br />
67,女儿,nǚ ér,daughter,female child,女孩子（对父母而言）。<br>,
68,第二,dì èr,second,second (numeral),1.复姓。见《通志．氏族四》。<br>,1、除英语外，他还要学<b>第二</b>外语。 <br />   2、 当他们跑最后一圈时，托马斯仍位居<b>第二</b>。 <br />   3、 <b>第二</b>阶段是形而上学阶段。 <br />   4、 英国队和意大利队并列<b>第二</b>.<br />
69,一阵,yī zhèn,,,（～儿）动作或情形继续的一段时间：～掌声｜～狂风。也说一阵子。<br>,1、<b>一阵</b>清风从窗口吹来。 <br />   2、 我们<b>一阵</b>炮火打得侵略者惊惶逃窜。 <br />   3、 <b>一阵</b>大风使船倾倒。 <br />   4、 她听到这消息时内心感到<b>一阵</b>悲伤。<br />
70,面前,miàn qián,in front of,at or near the front part of,面对着的地方：在革命人民～没有克服不了的困难。<br>,1、在用户不需要时，将图标显眼地放在用户<b>面前</b>实际上表示一种公开的冒犯，就像在某人车子的挡风玻璃上粘贴广告一样。 <br />   2、 在数据输入环境中，用户在计算机屏幕<b>面前</b>输入数据一坐就是几个小时。 <br />   3、 这些任务包括打开和关闭车门、开动引擎、在红绿灯<b>面前</b>停车，为车加油及进行定期的养护。 <br />   4、 所处环境周围的建筑设计是否考虑了引导人们来到信息亭<b>面前</b>？<br />
71,之后,zhī hòu,,,（１）表示在某个时间或处所的后面：三天～我们又分手了｜文艺大队走在煤矿工人队伍～。注意：多指时间，少指处所。（２）单独用在句子头上，表示在上文所说的事情以后：～，他们又提出了具体的计划。<br>,1、用完了<b>之后</b>，程序就将这些信息扔掉。 认为一旦需要的话，就再询问用户。 <br />   2、 在你决定购买日用品<b>之后</b>，选择哪个结账口付款不重要。 <br />   3、 但是在其成为中间用户<b>之后</b>，情形就不一样了。 <br />   4、 在决定购买汽车<b>之后</b>你不会在意为其筹钱，只要物有所值。<br />
72,爸爸,bà bà,father,male parent,1.父亲。<br>,1、<b>爸爸</b>，你最着名的苹果派。 <br />   2、 也许你应该请你<b>爸爸</b>顺便开车送你去。 <br />   3、 我<b>爸爸</b>昨天买的车性能不佳。 <br />   4、 你还记得<b>爸爸</b>和我常带你<br />
73,其实,qí shí,actually,In act or in fact; really; in truth; positively,副词，表示所说的是实际情况（承上文而含转折）：这个问题从表面上看似乎很难，～并不难。<br>,1、<b>其实</b>，这两个功能的集成还可以再往前走一步。 <br />   2、 <b>其实</b>，做一个体贴的产品不比做一个粗陋的产品难多少。 <br />   3、 ((口语))假装偶然而<b>其实</b>故意地 <br />   4、 <b>其实</b>大多数错误消息框是在告诉用户程序无法灵活工作，而且是承认程序自己的愚蠢。<br />
74,希望,xī wàng,hope,to want something to happen,（１）心里想着达到某种目的或出现某种情况：他从小就～做一个医生。（２）愿望：这个～不难实现。（２）希望所寄托的对象：青少年是我们的未来，是我们的～。<br>,1、相反，我们<b>希望</b>她对于系统控制的危险能量小心翼翼，甚至心怀敬畏。 <br />   2、 它们就像保险，我们所有的人都<b>希望</b>从来不要听到。 <br />   3、 人们<b>希望</b>看到文件菜单！” <br />   4、 没有人<b>希望</b>自己使用的机器责备它。<br />
75,咱们,zán men,we,the speaker(s) and the listener(s) (inclusive we: you and I),代词。（１）总称己方（我或我们）和对方（你或你们）：～是一家人｜你来得正好，～商量一下。注意：包括谈话的对方用‘咱们’，不包括谈话的对方用‘我们’，如：我们明天参加义务劳动，你要是没事，～一块儿去。不过说‘我们’也可以包括谈话的对方。（２）借指我或你：～是个大老粗，说话不会曲里拐弯（指我）｜～别哭，妈妈出去就回来（对小孩儿说，指你）。<br>,"1、<b>咱们</b>四个人（两对男女）一起下饭馆吧. <br />   2、 天气真好--<b>咱们</b>去野餐游玩吧. <br />   3、 <b>咱们</b>到汽车修配厂去看看吧。 <br />   4、 <b>咱们</b>暂停（会议）, 明天接着开.<br />"
76,非常,fēi cháng,very,to a high degree,（１）异乎寻常的；特殊的：～时期｜～会议。（２）十分；极：～光荣｜～高兴｜～努力｜他～会说话。<br>,1、重大改变必须是<b>非常</b>好的改变。 <br />   2、 因为易于操作，所以单次撤销<b>非常</b>有效。 <br />   3、 作为一个交互设计师，最好能想像一下用户——尤其是新手——<b>非常</b>聪明并且<b>非常</b>忙。 <br />   4、 数字产品往往假设人们<b>非常</b>了解技术，<br />
77,完全,wán quán,complete,with everything included,（１）齐全；不缺少什么：话还没说～｜四肢～。（２）全部：～同意｜～正确。<br>,1、这时，为需要的人提供一个单独的房间是<b>完全</b>恰当的。 <br />   2、 不过，级联菜单也并非<b>完全</b>无用。 <br />   3、 现在，程序的显示区<b>完全</b>处于这种工具的模态中。 <br />   4、 每次你付的租金数量是<b>完全</b>相同的！<br />
78,公司,ɡōnɡ sī,company,"A commercial association of two or more persons, especially when incorporated.",一种工商业组织，经营产品的生产、商品流转或某些建设事业等。<br>,1、很多<b>公司</b>开始重视如何使产品满足用户的需求，并投入时间和资金来进行前期设计。 <br />   2、 有时某个产品的一系列人物角色是同一个家庭或者同一个<b>公司</b>的一部分，他们之间有人际关系和社会关系。 <br />   3、 例如，在小<b>公司</b>职责范围较广，工作人员之间有更多的接触。 而在较大的<b>公司</b>，分工非常细致，往往有层层的组织机构。 这样的环境变量如下 <br />   4、 当一个<b>公司</b>决定出售多种软件产品时，该<b>公司</b>决定所有产品在用户界面角度必须完全一致，这时使用标准和指导准则将遇到特殊挑战。<br />
79,然而,rán ér,although,but,连词，用在句子的开头，表示转折：他搞技术革新失败多次，～并不灰心。<br>,1、行动的部分非常好，<b>然而</b>等待的部分应该到此为止了。 <br />   2、 <b>然而</b>，用户将其文档想像成书架上的书。 <br />   3、 <b>然而</b>从界面姿态的角度来看，电话也是暂时姿态的。 <br />   4、 <b>然而</b>，很容易避免在一个对话框中有35个按钮。<br />
80,学校,xué xiào,school,college or university,专门进行教育的机构。<br>,1、私立<b>学校</b>规范学生行为。 <br />   2、 现在<b>学校</b>里男女学生都学烹饪。 <br />   3、 从<b>学校</b>穿过大街就是图书馆。 <br />   4、 在网站开始高速发展的初期，大批的人涌入这一行业，包括从设计<b>学校</b>来的新毕业生、传统的图形设计者，以及一些对网站激动不已并认为有利可图的充满热情的年轻人。<br />
81,忽然,hū rán,suddenly,all at once,副词，表示来得迅速而又出乎意料；突然：他正要出去，～下起大雨来了。<br>,1、国王还没有吃上一口，<b>忽然</b>大笑起来。 <br />   2、 <b>忽然</b>，鼹鼠蹦蹦跳跳地进来了，显得很开心。 <br />   3、 种种表演<b>忽然</b>停止，正如它们<b>忽然</b>开始一样。 <br />   4、 毕蒂<b>忽然</b>欢天喜地地嚷了起来：“今天是我结婚的日子。”<br />
82,年轻,nián qīng,young,in the early part of life or growth,年纪不大（多指十几岁至二十几岁）：～人｜～力壮。<br>,1、他虽然很<b>年轻</b>，却善于做农活。 <br />   2、 他只有二十四岁，成家太<b>年轻</b>了。 <br />   3、 在网站开始高速发展的初期，大批的人涌入这一行业，包括从设计学校来的新毕业生、传统的图形设计者，以及一些对网站激动不已并认为有利可图的充满热情的<b>年轻</b>人。 <br />   4、 学生们显示出<b>年轻</b>人的活力。<br />
83,老板,lǎo bǎn,boss,person in charge,（１）私营工商业的财产所有者；掌柜的。（２）＜方＞旧时对著名京剧演员或组织戏班的京剧演员的尊称。<br>,1、如果一个用户需要用有趣的标题及优美的格式，有着多个分栏和多种字体的文档来取悦他的<b>老板</b>，他就会有强烈的动机来探索程序的秘密。 <br />   2、 <b>老板</b>马上接受了这个报价。 <br />   3、 你跟<b>老板</b>合得来吗? <br />   4、 如果我们是<b>老板</b>，就会考虑解雇这种小题大做且固执伪善的小职员。<br />
84,怎样,zěn yàng,how,in what manner,疑问代词。（１）询问性质、状况、方式等：你们的话剧排得～了？｜步兵和炮兵～配合作战？（２）泛指性质、状况或方式：要经常进行阶级教育，想想从前～，再看看现在～。‖也说怎么样。<br>,1、而不是“我<b>怎样</b>把这个单元格设置成100%的底纹？” <br />   2、 <b>怎样</b>写句子取决于主人公做了什么，以及作者想要创造什么样的效果。 <br />   3、 如果你在没有理解“是什么”的时候，就直接进入了“<b>怎样</b>？” 你会假设这个工具的输出是报告。 <br />   4、 如果程序可以在主界面中用虚线向导直接显示可打印区域会<b>怎样</b>呢？<br />
85,仿佛,fǎng fú,as if,in mimicry of,（１）似乎；好象：他干起活来～不知道什么是疲倦。（２）象；类似：他的模样还和十年前相～。<br>,1、我们可以向她展示程序，向她解释程序如何允许她在文档上工作。 并且一旦完成，她可以在磁盘中存储文档，<b>仿佛</b>文档是书架上的杂志一样。 <br />   2、 收获期一过农庄就<b>仿佛</b>入睡了。 <br />   3、 巴比康看到地势越升越高，<b>仿佛</b>非常满意。 <br />   4、 他<b>仿佛</b>挺生气：面孔通红，脸颊火热。<br />
86,十分,shí fēn,completely,in a complete manner,副词，很：天气～热。<br>,1、当然，也一定存在着<b>十分</b>紧急的情况，需要以一种突然且吸引注意力的方式来通知使用者。 <br />   2、 在设计过程中考虑商业目标、技术要求与局限<b>十分</b>重要，并不是说设计师必须对涉众和程序员言听计从。 <br />   3、 大多数非模态对话框实现得很笨拙，它们的行为很不一致，令人<b>十分</b>困惑。 <br />   4、 程序员们应当<b>十分</b>熟悉简约的概念，他们知道好算法往往更简短且更清楚。<br />
87,关系,guān xì,relationship,connection or association,＜轻＞（１）事物之间相互作用、相互影响的状态：正确处理政治和业务的～｜这个电门跟那盏灯没有～。（２）人和人或人和事物之间的某种性质的联系：同志～｜军民～｜社会～。（３）对有关事物的影响或重要性，值得注意的地方（常跟‘没有、有’连用）：这一点很有～｜没有～，修理修理照样儿能用。（４）泛指原因条件等：由于时间～，暂时谈到这里为止。（５）表明有某种组织关系的证件：随身带上团的～。（６）关联；牵涉。<br>,1、【访谈利益<b>关系</b>人】 <br />   2、 显示因果<b>关系</b> <br />   3、 人物角色之间的<b>关系</b> <br />   4、 大多数人对业务<b>关系</b>和家庭<b>关系</b>中的层次非常熟悉，但是大多数人在存储或者检索信息时，层次<b>关系</b>并不是一个自然概念。<br />
88,高兴,gāo xìng,happy,"enjoying peace, comfort, etc.; contented, joyous",（１）愉快而兴奋。（２）带着愉快的情绪去做某件事；喜欢：我～看电影，不去看戏了。<br>,1、他们知道信息是不完整的，有时还是错误的，甚至知道有时需要加速处理数据以便让顾客<b>高兴</b>。 <br />   2、 不是因为你没听到用户的抱怨，就意味着他们很<b>高兴</b>收到错误消息。 <br />   3、 一个悲哀的事实是，数字技术产业没有很好地理解怎样做才能让用户<b>高兴</b>， <br />   4、 即如果我们设计的产品能够让用户达到目标，他们就会感到满意、有效率，并且<b>高兴</b>。还会乐于购买这一产品，并且推荐给他人。<br />
89,回答,huí dá,answer,response,对问题给予解释；对要求表示意见：～不出来｜满意的～。<br>,1、程序应该悄悄、有效并聪明地采取行动。 而不应强迫用户<b>回答</b>诸如“你确定你就要一个副本？” <br />   2、 你无辜地<b>回答</b>：“没有。” <br />   3、 人物角色帮助<b>回答</b>了以下问题：“产品应该是什么样的？” <br />   4、 如果<b>回答</b>不够清晰，那么可以回头看看你的人物角色们和场景剧本，这样可更好地了解理想的使用情境和环境。<br />
90,听见,tīng jiàn,hear,to perceive with the ear,＜轻＞听到：听得见｜听不见｜～打雷的声音。<br>,"1、""妈妈，对不起，刚才没<b>听见</b>。"" <br />   2、 哈哈！幸亏被我一个人偶然<b>听见</b>。 <br />   3、 他刚醒来就<b>听见</b>有人敲门。 <br />   4、 昨晚我<b>听见</b>一个奇怪的响声。<br />"
91,几乎,jī hū,almost,very close to,（１）将近于；接近于：今天到会的～有五千人。（２）差点儿②：不是你提醒我，我～忘了｜两条腿一软，～摔倒。也说几几乎。<br>,1、毫无疑问，你已经发现<b>几乎</b>所有的对话框实际上都是暂时式应用程序。 <br />   2、 对用户来说，产品实现目标并只受到最小的侵扰<b>几乎</b>是魔术般的。 <br />   3、 这样很好，因为靠观察来了解鼠标如何工作<b>几乎</b>是不可能的。 <br />   4、 如果设计得当，这些对话框<b>几乎</b>可以完全消除。<br />
92,女孩,nǚ hái,girl,a girl,1.父母所生的女性孩子。<br>,1、她是一个好<b>女孩</b>。 <br />   2、 一个<b>女孩</b>在深夜大声呼救。 <br />   3、 那个<b>女孩</b>是学生吗？ 不，她不是。 <br />   4、 “我听了这话很难受，”<b>女孩</b>子说。<br />
93,终于,zhōng yú,eventually,in the end,（１）副词，表示经过种种变化或等待之后出现的情况：试验～成功了｜她多次想说，但～没说出口。（２）毕竟；终究。<br>,"1、他当演员的梦想<b>终于</b>实现了。 <br />   2、 耽搁多时之后,调查结果<b>终于</b>公布了。 <br />   3、 他<b>终于</b>决定采取合作的态度。 <br />   4、 他很高兴他<b>终于</b>获得了解脱。<br />"
94,准备,zhǔn bèi,prepare,to make ready for a specific future purpose,（１）预先安排或筹划：精神～｜～发言提纲｜～一个空箱子放书。（２）打算：春节我～回家｜昨天我本来～去看你，因为临时有事没去成。<br>,1、现在我们<b>准备</b>开始设计。 <br />   2、 当他们<b>准备</b>好接受可能的结果时，会试探性地使用这些控件。 <br />   3、 针对设计领域，<b>准备</b>一些访谈中必须涉及的标准化问题也有一定的帮助。 <br />   4、 现在我们<b>准备</b>开始勾画出大致的界面，最初阶段，界面的视觉化工作应该极其简单。<br />
95,主任,zhǔ rèn,supervisor,supervisor or superior,职位名称，一个部门或机构的主要负责人：办公室～｜车间～｜～委员（委员会的负责人）。<br>,1、论功行赏，我被升为华盛顿哥伦比亚特区的地区营业<b>主任</b>。 <br />   2、 西莉亚招聘了一名管理<b>主任</b>，名叫奈杰尔·本特利。 <br />   3、 现任<b>主任</b>掌权多久了? <br />   4、 值班<b>主任</b>轻轻地说道。<br />
96,衣服,yī fu,clothes,apparel,＜轻＞穿在身上遮蔽身体和御寒的东西。<br>,"1、睡觉时，我脱去<b>衣服</b>，换上睡衣。 <br />   2、 你把<b>衣服</b>整理好了，准备出发。 <br />   3、 一堆脏<b>衣服</b>放在洗衣机旁边。 <br />   4、 <b>衣服</b>乱成一团, 堆放在角落里.<br />"
97,甚至,shèn zhì,go so far as,do something in an extreme fashion,连词，提出突出的事例（有更进一层的意思）：大院里四十多岁～六十多岁的老年人也参加了读报小组。也说甚至于或甚而至于。<br>,1、相反，我们希望她对于系统控制的危险能量小心翼翼，<b>甚至</b>心怀敬畏。 <br />   2、 顺序很重要，有时<b>甚至</b>连大小写问题也不例外。 <br />   3、 设计不佳，<b>甚至</b>没有经过设计的产品看起来像是不同零件偶然拼合在一起。 <br />   4、 用户<b>甚至</b>无须经过思考，很快就可以把它们联系起来。<br />
98,需要,xū yào,need,in want of,（１）应该有或必须有：我们～有一支强大的科学技术队伍。（２）对事物的欲望或要求：从群众的～出发。<br>,1、有两个组成部分<b>需要</b>考虑。 <br />   2、 有时是<b>需要</b>独占姿态的。 <br />   3、 永久的中间用户<b>需要</b>什么 <br />   4、 新手<b>需要</b>什么<br />
99,离开,lí kāi,leave,To go away from a place.,跟人、物或地方分开：离得开｜离不开｜鱼～了水就不能活｜他已经～北京了。<br>,1、数字不应该<b>离开</b>，它们应该与显示内容有关，而不是显示的内容本身。 <br />   2、 在现实生活中，当我们<b>离开</b>房间时不会考虑放弃所有做出的改变。 <br />   3、 而当时在所有其他的基于菜单的程序中，如果使用者要在菜单中选择，都被迫<b>离开</b>工作屏幕。 <br />   4、 打字者不喜欢让任何事物迫使他们的手<b>离开</b>键盘上的基准位置，因为这需要肌肉群之间的转换。<br />
100,情况,qíng kuàng,situation,position vis-à-vis surroundings,（１）情形：思想～｜工作～。（２）军事上的变化：这两天前线没有什么～。<br>,1、当然，暂时式应用程序也存在一些少见的例外<b>情况</b>，即不止一个主题，但这种<b>情况</b>很少。 <br />   2、 想像一下图10-7中的<b>情况</b>。 <br />   3、 边缘<b>情况</b>设计 <br />   4、 从逻辑上说，后面这种<b>情况</b>有些问题。<br />
101,清楚,qīng chu,obscure,"dark, faint or indistinct",＜轻＞（１）事物容易让人了解、辩认：字迹～｜话说得不～｜把工作交代～。（２）对事物了解很透彻：头脑～。（３）了解：这件事的经过他很～｜这个问题你～不～？<br>,1、总之，你需要为受范区域提供更<b>清楚</b>的视觉暗示。 <br />   2、 它礼貌而<b>清楚</b>地为用户说明问题，并提出解决问题的好建议，操作按钮和产生的结果也描述得很<b>清楚</b>。 <br />   3、 这些原始数据尽管很精确，但没有说<b>清楚</b>这些情况。 <br />   4、 程序员们应当十分熟悉简约的概念，他们知道好算法往往更简短且更<b>清楚</b>。<br />
102,门口,mén kǒu,doorway,passage of a door,（～儿）门跟前：学校～。<br>,1、我到达的时候，他正站在<b>门口</b>。 <br />   2、 他心神不宁地慢慢向<b>门口</b>倒退，恨不得一下子化为乌有。 <br />   3、 拉斯来到<b>门口</b>，脸上略露笑意。 <br />   4、 他约定在剧院<b>门口</b>和我们碰头。<br />
103,领导,lǐnɡ dǎo,leader,one having authority,（１）率领并引导朝一定方向前进：～权｜集体～｜中国共产党～中国人民由一个胜利走向另一个胜利。（２）担任领导的人；领导者：～和群众相结合。<br>,1、这个游戏在主界面中提供了许多丰富视觉非模态反馈的例子，它描述的是一幅历史世界的图景。 你作为进化的文明社会<b>领导</b>人，可以进行建设和征服。 <br />   2、 果断是<b>领导</b>者必备的素质。 <br />   3、 最终，工具栏有可能作为一种主要的习惯用法，成为在独占式应用中调用命令的<b>领导</b>者。 <br />   4、 似应由学校<b>领导</b>处理。<br />
104,相信,xiāng xìn,believe,to accept that someone is telling the truth (object: person),认为正确或确实而不怀疑：我～他们的试验一定会成功。<br>,1、我们应该<b>相信</b>谁呢？ <br />   2、 用户不<b>相信</b>，或者至少不愿<b>相信</b>他们会犯错误，这是用户心理模型通常不包含错误的另外一种说法。 <br />   3、 在我们的想像中，用户可以脱离麻烦，因为我们<b>相信</b>错误消息框可以指引他们。 <br />   4、 许多程序员<b>相信</b>，如果用户在输入数据时犯了错误，就有责任通知他们。<br />
105,同学,tóng xué,classmate,Someone who is in the same class (in school).,１（１）在同一个学校学习的人。（２）称呼学生：～，请问你到体育场怎么走？<br>,1、接着，小<b>同学</b>们齐声背诵课文。 <br />   2、 她好在朋友和<b>同学</b>面前逞强。 <br />   3、 他向全班<b>同学</b>发出邀请，参加晚会。 <br />   4、 她做作业比她的<b>同学</b>更仔细。<br />
106,任何,rèn hé,any,at least one (kind),不论什么：我们能够战胜～困难。<br>,1、<b>任何</b>大的任务，诸如开车前往办公室，涉及很多较小的任务。 <br />   2、 我们不能从本能和直觉中获得<b>任何</b>帮助，只能依靠经验。 <br />   3、 这些选择从用户大脑转移到了屏幕上，不需要进行<b>任何</b>记忆。 <br />   4、 通常，<b>任何</b>一个命令启动10次，可能才设置1次。<br />
